,,105218232.00
S0001,2020,514914.25
S0014,2021,31702.75
S0001,2019,505247.50
S0012,2018,521756.25
S0013,2020,509465.50
S0029,2021,33620.50
S0011,2018,522733.25
S0016,2020,512398.75
S0006,2019,515944.00
S0026,2020,522222.75
S0011,2020,516340.75
S0013,2015,522894.25
S0005,2017,523144.50
S0020,2019,530847.75
S0005,2014,485970.00
S0028,2015,520551.75
S0026,2021,29975.75
S0017,2018,534404.25
S0021,2018,500173.00
S0006,2020,517054.75
S0009,2017,512675.50
S0010,2019,524861.50
S0001,2015,524997.00
S0024,2018,525783.00
S0003,2021,27244.25
S0013,2017,518728.75
S0003,2016,517557.50
S0023,2020,508135.75
S0017,2015,521849.25
S0003,2015,517101.25
S0009,2020,510887.75
S0024,2019,513361.25
S0011,2014,497352.75
S0014,2016,518477.50
S0022,2015,513738.25
S0020,2018,519164.75
S0002,2018,527635.50
S0008,2021,31635.50
S0021,2017,495008.00
S0016,2018,524296.50
S0007,2019,506177.25
S0026,2017,515813.25
S0007,2015,514947.00
S0014,2018,525746.50
S0016,2021,27749.50
S0023,2018,530894.50
S0017,2016,527119.00
S0001,2016,512193.25
S0025,2020,500234.50
S0025,2014,485563.50
S0009,2021,29842.25
S0024,2014,463831.00
S0014,2014,479941.75
S0017,2020,504933.75
S0029,2014,489389.50
S0008,2015,511998.75
S0023,2015,514499.50
S0025,2016,506748.50
S0008,2016,509498.00
S0022,2016,521512.25
S0012,2016,532022.00
S0020,2017,518361.00
S0025,2021,30368.75
S0026,2014,495241.25
S0008,2014,492776.00
S0004,2017,511853.25
S0028,2021,28168.25
S0027,2019,525408.75
S0003,2017,509661.75
S0007,2016,525959.50
S0029,2017,526879.75
S0014,2015,518300.75
S0027,2017,508814.25
S0023,2016,516951.50
S0020,2014,498153.00
S0022,2020,510447.25
S0002,2019,524933.75
S0028,2014,499972.50
S0019,2020,502255.25
S0009,2016,529381.75
S0009,2015,503999.00
S0025,2019,533544.50
S0011,2016,516444.75
S0015,2016,523277.00
S0011,2015,508652.25
S0018,2021,33321.75
S0018,2015,530555.75
S0005,2020,522146.00
S0004,2014,488488.25
S0020,2020,533885.50
S0006,2016,526071.75
S0006,2021,31439.50
S0016,2016,523741.00
S0010,2018,517890.75
S0020,2016,526849.25
S0024,2017,525119.00
S0009,2019,506542.00
S0017,2019,532467.25
S0007,2021,34702.00
S0016,2017,510087.75
S0025,2017,497058.00
S0001,2018,527636.25
S0029,2015,522337.00
