,5993859
I00101,23043
I00182,22093
I00237,22477
I00085,22706
I00154,22892
I00004,22310
I00218,22353
I00060,22921
I00061,22148
I00200,23503
I00156,23238
I00166,23019
I00198,22265
I00049,22417
I00137,23130
I00073,23013
I00117,22669
I00037,22949
I00211,22744
I00040,22835
I00193,22521
I00022,22453
I00133,22937
I00094,22774
I00221,22787
I00207,22228
I00028,22368
I00052,22257
I00069,22121
I00091,22251
I00196,22579
I00129,23238
I00120,23012
I00199,22617
I00253,23027
I00176,23847
I00213,22083
I00241,23108
I00251,22611
I00228,22896
I00235,22743
I00184,22420
I00194,23317
I00187,22728
I00169,22758
I00225,22639
I00076,23077
I00219,22303
I00005,22381
I00135,22220
I00127,22865
I00035,23526
I00247,22790
I00121,23103
I00075,22237
I00192,22645
I00027,22797
I00245,22058
I00018,22952
I00097,22055
I00032,22868
I00155,22410
I00183,22959
I00107,23119
I00062,22941
I00188,23196
I00030,22542
I00010,23011
I00264,22757
I00064,22140
I00059,22992
I00036,23364
I00159,22965
I00092,22487
I00146,22185
I00088,21896
I00026,23115
I00206,22306
I00095,22094
I00134,23060
I00038,23396
I00068,22313
I00015,23001
I00128,22528
I00249,22776
I00113,22480
I00262,22648
I00031,22442
I00144,22820
I00102,22271
I00215,22255
I00246,22425
I00252,23217
I00172,23020
I00020,22852
I00210,22558
I00240,22588
I00244,22913
I00055,22985
I00254,22886
I00231,22860
I00066,22537
I00149,23278
I00236,22229
I00153,21532
I00180,22247
I00034,23656
I00054,23076
I00096,23034
I00181,22269
I00139,22896
I00123,23220
I00220,22635
I00148,22286
I00089,23205
I00078,22972
I00140,22832
I00070,22332
I00081,22825
I00202,22437
I00185,22520
I00229,23187
I00087,22466
I00174,21742
I00126,22267
I00178,22896
I00171,21970
I00046,22254
I00255,23136
I00100,22736
I00232,23319
I00115,22555
I00160,22831
I00161,22565
I00216,23566
I00083,22550
I00009,22326
I00044,21910
I00170,23061
I00056,22263
I00151,22890
I00204,23033
I00256,22881
I00257,22442
I00042,22044
I00108,22436
I00045,23181
I00141,23471
I00090,22718
I00136,22147
I00118,22813
I00063,22789
I00053,22967
I00079,22547
I00212,22888
I00007,22319
I00012,23059
I00116,22325
I00065,23179
I00226,22707
I00002,22183
I00084,21983
I00222,22518
I00013,22408
I00093,22022
I00167,22177
I00130,22143
I00016,23172
I00189,22527
I00142,22151
I00158,22799
I00260,22405
I00263,23444
I00029,22771
I00131,21934
I00214,22223
I00230,23789
I00124,22167
I00163,22768
I00233,22081
I00098,21695
I00195,22400
I00086,22553
I00077,23428
I00250,22948
I00165,23026
I00175,22426
I00238,22779
I00017,22803
I00048,23366
I00177,22868
I00248,23007
I00143,22779
I00147,22718
I00150,23104
I00074,22428
I00157,22584
I00203,22199
I00039,23355
I00190,22539
I00114,22448
I00110,22509
I00223,22801
I00111,22545
I00043,22552
I00106,22364
I00145,23025
I00003,22852
I00104,23003
I00109,22941
I00080,23605
I00208,22658
I00105,23281
I00099,22457
I00033,23080
I00201,22421
I00132,22132
I00164,22247
I00205,23050
I00112,23244
I00021,23044
I00047,23266
I00243,22213
I00191,22830
I00227,22312
I00234,22938
I00008,22973
I00006,23488
I00186,22235
I00057,22540
I00011,22103
I00025,23357
I00122,23026
I00217,22707
I00239,22715
I00152,23440
I00258,23526
I00103,22456
I00041,23067
I00082,22939
I00023,22010
I00179,22865
I00197,21900
I00024,23029
I00168,22321
I00050,23145
I00019,23657
I00259,22655
I00071,21898
I00125,23558
I00138,22368
I00014,22109
I00162,22965
I00058,22720
I00067,22951
I00119,22698
I00001,22132
I00224,22779
I00072,21789
I00261,22692
I00173,22893
I00209,22783
I00242,23412
I00051,23321
